,Unnamed: 0,fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,class
4009,4009,1009,1225756800000,0.0,99.83,7.02,14.9,8.62,8.62,23.63,7.87,15.75,13.68,1.75,2.15,1.33,0.82,3.35,5.06,2.46,2.6,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4010,4010,1009,1226361600000,0.05,99.83,4.55,10.53,2.22,2.25,18.74,3.63,15.11,10.56,1.96,2.87,1.22,1.65,4.42,5.74,1.9,3.84,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4021,4021,1009,1233014400000,0.24,99.73,8.97,13.65,12.12,12.12,19.36,8.23,11.13,13.64,2.81,3.66,1.84,1.82,5.75,6.9,4.0,2.91,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4027,4027,1009,1236643200000,0.0,99.58,10.95,18.21,15.32,15.32,24.25,13.06,11.2,18.19,2.31,2.93,1.79,1.14,5.31,6.86,3.45,3.41,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4028,4028,1009,1237248000000,0.49,99.94,7.07,13.54,8.75,8.75,21.15,6.4,14.75,12.7,1.68,2.39,0.9,1.49,3.22,5.07,1.64,3.43,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4029,4029,1009,1237852800000,0.98,99.62,9.5,15.45,13.08,13.08,19.89,9.89,9.99,15.45,2.91,3.85,1.84,2.01,6.1,8.0,3.97,4.03,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4030,4030,1009,1238457600000,7.32,98.87,8.79,13.19,11.71,11.71,17.99,8.52,9.47,13.22,2.57,3.44,1.47,1.97,5.05,6.05,3.24,2.82,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4032,4032,1009,1239667200000,2.53,98.85,6.82,11.46,7.87,7.87,15.67,5.57,10.1,11.47,2.53,3.55,1.57,1.98,4.78,6.49,3.44,3.06,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4034,4034,1009,1240876800000,0.0,100.2,12.49,20.89,17.46,17.46,26.34,16.29,10.05,20.91,1.85,2.72,1.15,1.57,4.12,5.58,3.06,2.52,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4035,4035,1009,1241481600000,2.15,99.18,12.09,19.54,16.77,16.77,23.88,15.67,8.21,19.25,1.5,2.44,0.5,1.93,3.05,4.92,1.46,3.46,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4036,4036,1009,1242086400000,1.35,99.59,11.68,19.04,16.25,16.24,23.92,13.75,10.17,19.11,1.74,2.66,1.17,1.5,3.56,5.01,1.76,3.25,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4037,4037,1009,1242691200000,0.03,100.12,7.3,14.42,9.14,9.15,21.37,6.88,14.49,14.45,2.11,2.83,1.41,1.42,4.98,6.68,2.08,4.6,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4039,4039,1009,1243900800000,1.97,99.33,14.55,25.37,19.7,19.7,31.45,19.04,12.42,24.97,1.22,1.91,0.71,1.2,2.43,3.85,1.03,2.82,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4041,4041,1009,1245110400000,0.26,99.16,16.77,26.66,21.99,21.99,33.27,20.76,12.52,26.5,1.34,1.79,0.27,1.52,2.89,5.12,0.4,4.72,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4044,4044,1009,1246924800000,0.06,98.68,14.9,24.8,20.02,20.02,30.32,19.69,10.62,24.8,1.35,1.74,1.0,0.74,2.99,4.38,1.69,2.69,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4045,4045,1009,1247529600000,0.0,99.31,15.86,27.23,21.08,21.08,34.49,20.6,13.89,27.2,1.0,1.64,0.29,1.34,2.41,4.98,0.45,4.53,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4046,4046,1009,1248134400000,1.5,99.3,11.61,22.58,16.04,16.04,29.44,14.48,14.96,22.58,1.47,2.07,1.04,1.04,3.27,6.04,1.64,4.4,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4050,4050,1009,1250553600000,5.07,99.55,16.15,25.23,21.45,21.45,30.49,21.35,9.14,25.28,1.71,2.48,0.97,1.51,3.55,4.54,2.36,2.18,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4051,4051,1009,1251158400000,0.0,99.42,12.38,24.59,17.17,17.17,30.6,17.57,13.02,23.91,1.36,1.86,0.89,0.97,2.84,4.23,1.38,2.85,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4052,4052,1009,1251763200000,0.6,99.56,12.82,21.67,17.72,17.72,27.73,16.47,11.26,21.75,1.53,1.96,1.11,0.86,3.52,5.18,2.22,2.96,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4054,4054,1009,1252972800000,6.38,98.94,17.02,24.14,22.22,22.22,28.71,21.26,7.45,24.16,1.81,2.71,1.13,1.58,4.04,4.85,2.67,2.18,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4056,4056,1009,1254182400000,0.0,99.32,7.77,14.49,10.07,10.07,21.03,9.0,12.04,14.52,1.97,2.86,1.27,1.59,4.72,6.49,2.14,4.35,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4057,4057,1009,1254787200000,4.64,99.0,14.61,20.83,19.5,19.5,26.25,14.68,11.58,20.88,1.77,2.75,1.13,1.62,3.97,6.18,1.9,4.28,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4061,4061,1009,1257206400000,0.0,100.0,7.23,11.79,8.97,8.97,19.86,6.65,13.21,11.77,2.04,2.67,1.54,1.13,5.05,6.28,3.38,2.9,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4064,4064,1009,1259020800000,0.01,99.6,7.08,10.6,8.76,8.76,14.38,7.63,6.75,10.32,1.23,1.83,0.62,1.2,2.53,4.76,0.98,3.78,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4067,4067,1009,1260835200000,0.88,99.88,6.69,8.66,7.15,7.16,15.42,1.85,13.58,8.57,2.6,3.37,1.58,1.8,5.04,6.1,3.37,2.74,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4068,4068,1009,1261440000000,0.0,99.79,5.45,6.5,4.9,4.9,13.77,1.63,12.14,6.4,1.4,2.05,0.7,1.35,3.17,5.95,0.96,4.99,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4072,4072,1009,1263859200000,0.07,99.3,6.36,7.5,6.9,6.9,14.97,1.09,13.88,7.14,1.98,2.41,1.33,1.08,4.45,6.74,2.17,4.58,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4079,4079,1009,1268092800000,13.21,99.05,6.91,9.96,8.14,8.14,15.06,4.29,10.77,9.87,2.3,2.87,1.53,1.34,4.9,6.1,2.64,3.46,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4080,4080,1009,1268697600000,0.0,99.6,5.52,7.66,5.14,5.14,12.66,3.74,8.92,7.7,1.96,2.56,1.18,1.38,3.88,4.66,2.95,1.71,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4081,4081,1009,1269302400000,0.05,99.33,6.47,10.79,7.21,7.21,18.97,4.49,14.48,9.97,1.56,2.42,0.79,1.64,2.58,4.04,1.29,2.75,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4082,4082,1009,1269907200000,0.0,99.26,5.69,11.62,5.47,5.48,19.12,4.32,14.8,10.58,1.56,2.26,0.74,1.52,2.74,4.57,1.15,3.41,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4083,4083,1009,1270512000000,0.0,99.33,11.04,19.21,15.39,15.39,26.39,12.04,14.35,19.19,2.74,3.65,1.84,1.8,5.93,7.43,3.33,4.1,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4084,4084,1009,1271116800000,0.0,100.15,9.13,17.77,12.6,12.6,25.89,10.02,15.87,17.63,1.72,2.39,0.8,1.59,4.06,6.51,1.1,5.41,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4085,4085,1009,1271721600000,0.71,98.99,8.83,16.29,11.87,11.88,22.25,10.93,11.32,16.13,1.32,2.36,0.36,2.01,2.94,4.87,0.69,4.19,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4087,4087,1009,1272931200000,0.0,99.12,9.61,21.68,13.13,13.13,31.0,14.3,16.7,20.43,1.28,2.14,0.25,1.88,2.26,4.89,0.36,4.52,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4089,4089,1009,1274140800000,0.08,99.03,12.07,20.53,16.75,16.75,26.72,14.73,11.99,20.53,1.95,3.05,1.3,1.75,4.23,5.31,2.3,3.01,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4090,4090,1009,1274745600000,0.1,99.37,13.84,22.75,18.96,18.96,28.0,18.76,9.24,22.76,1.8,2.69,1.13,1.56,3.75,4.77,2.75,2.03,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4091,4091,1009,1275350400000,3.21,99.07,15.74,25.34,20.9,20.9,30.88,20.15,10.73,25.22,0.9,1.46,0.48,0.98,2.08,3.94,0.86,3.08,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4092,4092,1009,1275955200000,0.02,99.45,13.68,24.77,18.7,18.7,31.8,17.42,14.39,24.55,1.33,1.96,0.66,1.3,2.88,5.81,1.09,4.73,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4094,4094,1009,1277164800000,0.04,99.62,16.8,27.73,22.1,22.1,33.65,22.08,11.57,27.56,1.46,1.89,1.02,0.86,3.08,4.84,1.76,3.07,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4096,4096,1009,1278374400000,0.3,99.41,15.82,26.66,21.07,21.07,32.93,20.34,12.59,26.77,1.73,2.47,1.2,1.27,3.75,4.41,2.37,2.05,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4098,4098,1009,1279584000000,0.87,99.56,15.84,28.83,21.1,21.1,35.85,22.28,13.57,28.61,1.48,1.82,0.89,0.92,2.98,4.14,1.32,2.82,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4103,4103,1009,1282608000000,0.0,98.79,12.82,26.11,17.61,17.61,33.97,19.8,14.16,26.24,1.76,2.21,1.47,0.74,4.01,6.4,2.25,4.14,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4104,4104,1009,1283212800000,0.19,99.76,13.39,23.99,18.48,18.49,30.61,18.72,11.89,23.86,1.63,2.07,1.12,0.95,3.44,4.52,2.29,2.23,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,0
4107,4107,1009,1285027200000,0.05,99.34,12.37,28.0,17.17,17.18,36.65,20.71,15.95,27.77,1.56,2.19,0.78,1.41,3.34,5.15,1.26,3.89,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
